Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
254,teguldet,57.3064,88.1667,269.25,98.0,100.0,4.46,RU
255,zumpahuacan,18.9,-99.55,283.15,74.0,1.0,2.57,MX
256,sarangani,5.4033,125.4636,301.32,76.0,100.0,4.4,PH
257,katsuura,35.1333,140.3,289.15,63.0,20.0,14.92,JP
258,crotone,39.0851,17.1178,278.15,48.0,75.0,12.86,IT
259,jiexiu,37.0244,111.9125,276.25,55.0,17.0,4.77,CN
260,tevaitoa,-16.7833,-151.5,300.69,74.0,100.0,4.97,PF
261,alamosa,37.4695,-105.87,257.15,85.0,90.0,2.48,US
262,querfurt,51.3833,11.6,275.37,55.0,100.0,4.66,DE
263,gonbad-e qabus,37.25,55.1672,290.15,55.0,0.0,2.06,IR
264,leningradskiy,69.3833,178.4167,247.1,87.0,17.0,2.08,RU
265,zaragoza,41.6561,-0.8773,285.37,81.0,90.0,4.12,ES
266,yuanping,38.7153,112.7575,274.34,63.0,0.0,0.42,CN
267,guerrero negro,27.9769,-114.0611,285.76,85.0,26.0,3.96,MX
268,cabrera,19.6426,-69.9049,296.15,94.0,40.0,7.22,DO
269,yulara,-25.2406,130.9889,303.15,23.0,29.0,3.6,AU
270,kegayli,,,,,,,
271,birobidzhan,48.8,132.95,257.51,88.0,100.0,2.78,RU
272,santiago del estero,-27.7951,-64.2615,300.93,62.0,72.0,3.58,AR
273,deputatskiy,69.3,139.9,242.84,89.0,94.0,1.19,RU
274,saurimo,-9.6608,20.3916,305.15,48.0,40.0,0.77,AO
275,tiksi,71.6872,128.8694,249.16,90.0,100.0,4.61,RU
276,ybycui,-26.0167,-57.05,299.56,68.0,21.0,1.88,PY
277,wanning,18.8003,110.3967,292.53,75.0,22.0,1.56,CN
278,nishihara,26.1842,127.7558,291.15,51.0,75.0,6.17,JP
279,kavieng,-2.5744,150.7967,301.81,77.0,78.0,4.6,PG
280,tasiilaq,65.6145,-37.6368,272.15,100.0,90.0,3.09,GL
281,nyuksenitsa,60.4128,44.2397,254.37,90.0,81.0,3.74,RU
282,kytlym,,,,,,,
283,hirara,24.8,125.2833,291.15,68.0,40.0,3.6,JP
284,mangrol,21.1167,70.1167,297.56,60.0,0.0,5.11,IN
285,qui nhon,13.7667,109.2333,293.86,78.0,53.0,2.36,VN
286,saint-augustin,51.226000000000006,-58.6502,252.94,86.0,21.0,3.85,CA
287,lojt kirkeby,55.0833,9.4667,273.71,51.0,75.0,5.14,DK
288,xiongyue,40.1774,122.1228,267.73,68.0,0.0,0.8,CN
289,la paz,-16.5,-68.15,278.15,75.0,75.0,1.03,BO
290,galich,58.3797,42.3475,256.94,90.0,75.0,3.87,RU
291,noyabrsk,63.1994,75.4507,254.37,92.0,100.0,7.19,RU
292,vanavara,60.34,102.2797,239.57,83.0,43.0,0.68,RU
293,jiddah,,,,,,,
294,lima,-12.0432,-77.0282,294.26,88.0,0.0,2.06,PE
295,clyde river,70.4692,-68.5914,244.15,76.0,0.0,2.57,CA
296,takoradi,4.8845,-1.7554,302.25,75.0,69.0,4.11,GH
297,kavaratti,10.5669,72.642,300.87,58.0,7.0,2.03,IN
298,abu dhabi,24.4667,54.3667,299.15,57.0,0.0,4.12,AE
299,tsihombe,,,,,,,
300,goure,13.9835,10.2704,305.93,8.0,0.0,4.47,NE
301,lagoa,39.05,-27.9833,285.59,67.0,2.0,10.63,PT
302,skrunda,56.6833,22.0167,271.15,64.0,75.0,1.56,LV
303,waddan,29.1614,16.139,286.59,60.0,19.0,12.58,LY
304,provideniya,64.3833,-173.3,255.87,79.0,2.0,7.51,RU
305,amapa,1.0,-52.0,297.9,85.0,79.0,2.87,BR
306,kaeo,-35.1,173.7833,292.59,96.0,98.0,3.58,NZ
307,bassar,9.25,0.7833,307.15,27.0,20.0,3.6,TG
308,hobyo,5.3505,48.5268,301.06,64.0,88.0,6.92,SO
309,san lorenzo,-25.3333,-57.5333,299.15,83.0,0.0,1.03,PY
310,arman,59.7,150.1667,251.84,81.0,100.0,3.11,RU
311,wamba,8.9333,8.6,310.28,19.0,2.0,2.53,NG
312,trinidad,-14.8333,-64.9,298.15,88.0,75.0,2.06,BO
313,puerto suarez,-18.95,-57.8,299.15,94.0,75.0,1.18,BO
314,qaanaaq,77.484,-69.3632,253.83,88.0,99.0,0.99,GL
315,nykoping,58.753,17.0079,271.15,69.0,0.0,2.57,SE
316,krasnoarmeysk,51.0239,45.6969,257.92,92.0,56.0,5.2,RU
317,severnoye,56.3491,78.3619,269.08,97.0,97.0,5.13,RU
318,tamworth,52.63399999999999,-1.6959,283.15,94.0,50.0,3.13,GB
319,matagalpa,12.9256,-85.9175,289.82,93.0,29.0,1.26,NI
320,buzmeyin,38.0507,58.2056,292.15,37.0,26.0,4.12,TM
321,mbini,1.574,9.6134,302.81,70.0,92.0,3.25,GQ
322,aswan,24.0934,32.907,303.36,14.0,0.0,2.78,EG
323,beloha,-25.1667,45.05,306.22,39.0,87.0,3.79,MG
324,linares,-35.85,-71.6,289.57,66.0,0.0,1.42,CL
325,grindavik,63.8424,-22.4338,278.15,93.0,75.0,10.29,IS
326,okhotsk,59.3833,143.3,257.08,86.0,100.0,1.68,RU
327,hinton,53.4001,-117.5857,255.15,85.0,100.0,1.03,CA
328,port hedland,-20.3167,118.5667,302.15,74.0,29.0,4.63,AU
329,bathsheba,13.2167,-59.5167,299.15,61.0,40.0,9.26,BB
330,sorong,-0.8833,131.25,300.02,78.0,100.0,4.74,ID
331,esperance,-33.8667,121.9,299.15,41.0,8.0,6.17,AU
332,fontem,5.4685,9.8818,306.03,28.0,87.0,2.52,CM
333,mocambique,,,,,,,
334,mergui,,,,,,,
335,manokwari,-0.8667,134.0833,299.95,81.0,69.0,5.95,ID
336,marzuq,14.4,46.4667,301.53,15.0,2.0,2.62,YE
337,suhbaatar,50.2314,106.2078,252.31,84.0,50.0,1.32,MN
338,ascension,30.2169,-90.9001,274.15,100.0,90.0,4.41,US
339,albenga,44.0529,8.216000000000001,283.15,40.0,40.0,4.63,IT
340,kuruman,-27.4524,23.4325,300.37,46.0,0.0,2.68,ZA
341,york,40.1254,-77.0,274.15,60.0,90.0,2.06,US
342,ketchikan,55.3422,-131.6461,274.15,100.0,90.0,1.54,US
