City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
porto santo,33.072,-16.3415,290.15,72.0,40.0,5.14,PT
mayo,38.8876,-76.5119,275.37,80.0,90.0,3.09,US
aqtobe,50.2797,57.2072,265.15,79.0,75.0,4.0,KZ
ellisras,-23.6649,27.7443,305.64,39.0,53.0,2.96,ZA
iquique,-20.2208,-70.1431,294.15,56.0,0.0,1.03,CL
teguldet,57.3064,88.1667,269.25,98.0,100.0,4.46,RU
zumpahuacan,18.9,-99.55,283.15,74.0,1.0,2.57,MX
sarangani,5.4033,125.4636,301.32,76.0,100.0,4.4,PH
katsuura,35.1333,140.3,289.15,63.0,20.0,14.92,JP
crotone,39.0851,17.1178,278.15,48.0,75.0,12.86,IT
jiexiu,37.0244,111.9125,276.25,55.0,17.0,4.77,CN
tevaitoa,-16.7833,-151.5,300.69,74.0,100.0,4.97,PF
alamosa,37.4695,-105.87,257.15,85.0,90.0,2.48,US
querfurt,51.3833,11.6,275.37,55.0,100.0,4.66,DE
gonbad-e qabus,37.25,55.1672,290.15,55.0,0.0,2.06,IR
leningradskiy,69.3833,178.4167,247.1,87.0,17.0,2.08,RU
zaragoza,41.6561,-0.8773,285.37,81.0,90.0,4.12,ES
yuanping,38.7153,112.7575,274.34,63.0,0.0,0.42,CN
guerrero negro,27.9769,-114.0611,285.76,85.0,26.0,3.96,MX
cabrera,19.6426,-69.9049,296.15,94.0,40.0,7.22,DO
yulara,-25.2406,130.9889,303.15,23.0,29.0,3.6,AU
birobidzhan,48.8,132.95,257.51,88.0,100.0,2.78,RU
santiago del estero,-27.7951,-64.2615,300.93,62.0,72.0,3.58,AR
deputatskiy,69.3,139.9,242.84,89.0,94.0,1.19,RU
saurimo,-9.6608,20.3916,305.15,48.0,40.0,0.77,AO
tiksi,71.6872,128.8694,249.16,90.0,100.0,4.61,RU
ybycui,-26.0167,-57.05,299.56,68.0,21.0,1.88,PY
